H0,Omega_Lambda,k,t_crit
7.386134863781660442e+01,7.252531055797349913e-01,5.013153518295244693e-01,6.897461085199549480e+00
7.386134863781660442e+01,7.252531055797349913e-01,5.013153518295244693e-01,6.897461085199549480e+00
7.386134863781660442e+01,7.252531055797349913e-01,5.013153518295244693e-01,6.897461085199549480e+00
7.386134863781660442e+01,7.252531055797349913e-01,5.013153518295244693e-01,6.897461085199549480e+00
7.386134863781660442e+01,7.252531055797349913e-01,5.013153518295244693e-01,6.897461085199549480e+00
7.386134863781660442e+01,7.252531055797349913e-01,5.013153518295244693e-01,6.897461085199549480e+00
7.386134863781660442e+01,7.252531055797349913e-01,5.013153518295244693e-01,6.897461085199549480e+00
7.386598506751518300e+01,7.250872274119199989e-01,5.005511510668505526e-01,6.917890994362818624e+00
7.386598506751518300e+01,7.250872274119199989e-01,5.005511510668505526e-01,6.917890994362818624e+00
7.388591721795016554e+01,7.254395808896864084e-01,4.898618319112144626e-01,7.105717961622007195e+00
7.388591721795016554e+01,7.254395808896864084e-01,4.898618319112144626e-01,7.105717961622007195e+00
7.388591721795016554e+01,7.254395808896864084e-01,4.898618319112144626e-01,7.105717961622007195e+00
7.388591721795016554e+01,7.254395808896864084e-01,4.898618319112144626e-01,7.105717961622007195e+00
7.377635129687152471e+01,7.262246252247831491e-01,4.880866958395769784e-01,6.834450199435664786e+00
7.377635129687152471e+01,7.262246252247831491e-01,4.880866958395769784e-01,6.834450199435664786e+00
7.377635129687152471e+01,7.262246252247831491e-01,4.880866958395769784e-01,6.834450199435664786e+00
7.373152719391866583e+01,7.252946996848836925e-01,5.175499877919933489e-01,6.685341797338190339e+00
7.374866306006204297e+01,7.252666331046733195e-01,5.132464048037453930e-01,6.699319120556157969e+00
7.373854625237962068e+01,7.251998826828415234e-01,5.156501484020565851e-01,6.698762134257322920e+00
7.377990316460599729e+01,7.255305404274264847e-01,5.235741433194389671e-01,6.710316032822682963e+00
7.377990316460599729e+01,7.255305404274264847e-01,5.235741433194389671e-01,6.710316032822682963e+00
7.379996601274801549e+01,7.253738734424032275e-01,5.251770899276619886e-01,6.747066488221036273e+00
7.379996601274801549e+01,7.253738734424032275e-01,5.251770899276619886e-01,6.747066488221036273e+00
7.379996601274801549e+01,7.253738734424032275e-01,5.251770899276619886e-01,6.747066488221036273e+00
7.378529825296692479e+01,7.235271093943210774e-01,5.189554610294830894e-01,6.958941748102724034e+00
7.378529825296692479e+01,7.235271093943210774e-01,5.189554610294830894e-01,6.958941748102724034e+00
7.366779435525639030e+01,7.253120742821171918e-01,5.134079668958841935e-01,6.662257027597307868e+00
7.368477343586572204e+01,7.258496150242268463e-01,4.845117983732332712e-01,6.554721597200476424e+00
7.368477343586572204e+01,7.258496150242268463e-01,4.845117983732332712e-01,6.554721597200476424e+00
