# DES-SN Y5 (Dovekie HD): CID z_HD mu sigma_total
# sigma_total = sqrt(MUERR^2 + MUERR_VPEC^2 + MUERR_SYS^2)
# N_unique_SN = 1820 (1623 DES + 197 external low-z); N_rows = 1820
# Source: DES Collaboration, DES-SN5YR data release (public)
1860025 0.23532 40.59127 0.112601
1921033 0.23707 40.51120 0.148698
1317277 0.23710 40.32020 0.132561
1373042 0.23720 40.46564 0.109820
1434248 0.23734 40.33508 0.115900
1262573 0.23747 40.41081 0.149417
1840041 0.23891 40.39397 0.178809
1834104 0.23928 40.38821 0.109451
1366436 0.23954 40.44745 0.114712
1368188 0.24003 40.42150 0.094657
1319711 0.24171 40.38161 0.092922
1780045 0.24283 40.52226 0.122682
1344355 0.24448 40.34132 0.220541
1927242 0.24576 40.75279 0.142810
1246275 0.24605 40.59366 0.101239
1276528 0.24618 40.23354 0.197279
1334645 0.24701 40.26524 0.105356
1879256 0.24936 40.35571 0.241934
1901059 0.25126 40.41245 0.143441
1367234 0.25173 40.51833 0.145992
1305276 0.25286 40.70136 0.211066
1302359 0.25308 40.46937 0.174103
1262726 0.25378 40.35512 0.118544
1373028 0.25517 40.30212 0.118617
1336480 0.25604 40.66634 0.149575
1279420 0.25691 40.48353 0.174670
1321450 0.25833 40.41248 0.205388
1297026 0.25854 40.59566 0.098120
1303883 0.25904 40.50537 0.152624
1289664 0.25907 40.23541 0.147052
1697026 0.26046 40.98259 0.319185
1298079 0.26048 40.74659 0.148762
1262232 0.26103 40.86697 0.729350
1337649 0.26150 40.48657 0.154240
1373040 0.26162 40.58782 0.129873
1910132 0.26271 40.54026 0.094047
1434201 0.26317 41.83784 320.330523
1344347 0.26361 40.69751 0.138154
1261784 0.26523 40.90810 0.397354
1892103 0.26584 40.74542 0.300664
1334087 0.26628 40.58229 0.113819
1300390 0.26765 40.66311 0.156075
1319870 0.26767 42.34894 219.254565
1249970 0.26775 40.88779 0.167369
1309288 0.26793 40.59362 0.104344
1560034 0.26891 40.75730 0.182968
1320704 0.26996 40.44445 0.148919
1309874 0.27001 40.60880 0.123376
1330817 0.27051 40.90091 0.112969
1366690 0.27119 40.77037 0.122109
1773078 0.27142 40.60580 0.126212
1278493 0.27237 40.69293 0.152424
1968046 0.27255 40.77936 0.116286
1292332 0.27265 40.67029 0.107242
1260050 0.27278 40.65338 0.107882
1574104 0.27304 40.70865 0.116420
1502065 0.27316 40.71483 0.141053
1250279 0.27382 40.46812 0.101117
1260556 0.27437 40.76180 0.253882
1339756 0.27539 40.69707 0.111989
1547086 0.27578 41.07373 0.332873
1305756 0.27589 40.66582 0.609793
1368133 0.27618 40.76795 0.269164
1792093 0.27659 40.82561 0.095884
1503024 0.27694 40.92631 0.127211
1297465 0.27784 41.00841 0.253054
1291242 0.27905 40.89237 0.226969
1261963 0.27963 40.93028 0.231759
1255576 0.28010 40.77810 0.107844
1248084 0.28063 40.69969 0.137166
1290967 0.28110 40.48691 0.335377
1902212 0.28169 41.08529 0.416076
1249483 0.28303 40.69138 0.111340
1773339 0.28417 41.96640 6.468965
1297927 0.28513 40.88255 0.117693
1312897 0.28578 40.65082 0.233121
1862039 0.28699 41.02013 0.142050
1334644 0.28805 40.79063 0.126927
1313594 0.28834 40.84993 0.106168
1457045 0.28848 41.84104 136.230618
1334597 0.28895 40.72403 0.151163
1289288 0.29001 40.87310 0.167814
1538019 0.29069 40.89234 0.108135
1371022 0.29082 40.89713 0.160976
1861178 0.29093 40.58483 0.138222
1531089 0.29149 40.74212 0.118954
1302123 0.29156 40.86883 0.110834
1263715 0.29185 40.83596 0.128433
1292227 0.29185 40.78485 0.158572
1291090 0.29199 40.86884 0.126958
1262550 0.29209 40.82885 0.111631
1336454 0.29256 41.88914 30.584025
1340706 0.29323 40.88986 0.212741
1266255 0.29358 40.99129 0.110485
1721068 0.29376 40.89113 0.266653
1256680 0.29438 41.07496 0.192154
1250665 0.29461 40.91041 0.218776
1310432 0.29471 40.88079 0.167013
